fasta,time_sec,max_rss_kb,length,dataset,tool,beam,energy,machine,jobs
bpRNA_RFAM_24251,0.05,5812,100,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_4664,0.03,5472,95,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_14392,0.06,5664,112,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_34042,0.08,7092,132,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_CRW_43708,0.02,5128,75,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_678,0.07,6480,120,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_26446,0.07,6688,120,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_6073,0.02,4984,81,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_CRW_16047,0.0,4512,57,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_9340,0.19,9376,180,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_SRP_842,0.59,17456,275,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_17843,0.03,5408,91,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_29775,0.01,5084,76,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_36655,0.03,5428,87,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_27980,0.0,4696,54,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_16585,0.1,6716,136,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_38678,0.12,8136,148,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_30224,0.03,5352,89,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_30542,0.04,5880,101,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_20751,0.02,5052,78,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_31884,0.02,4976,76,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_CRW_37937,0.02,5108,77,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_26320,0.02,5132,81,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_9426,0.0,4400,39,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_20989,0.03,5432,91,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_29013,0.01,4880,74,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_22146,0.03,5368,88,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_CRW_54512,0.02,5136,77,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_34724,0.01,4912,68,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_15932,0.02,5300,79,bprna,LinCapR,200,turner2004,wisteria_20251017_1212,32
