fasta,time_sec,max_rss_kb,length,dataset,tool,beam,energy,machine,jobs
bpRNA_RFAM_24251,0.06,7176,100,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_4664,0.04,7008,95,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_14392,0.07,7488,112,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_34042,0.1,7876,132,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_CRW_43708,0.02,6492,75,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_678,0.08,7748,120,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_26446,0.09,7960,120,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_6073,0.03,6816,81,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_CRW_16047,0.0,5900,57,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_9340,0.24,9184,180,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_SRP_842,0.83,11772,275,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_17843,0.04,7108,91,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_29775,0.02,6448,76,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_36655,0.04,6800,87,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_27980,0.01,5984,54,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_16585,0.12,8316,136,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_38678,0.15,8468,148,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_30224,0.03,6896,89,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_30542,0.05,7392,101,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_20751,0.02,6656,78,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_31884,0.02,6528,76,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_CRW_37937,0.03,6740,77,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_26320,0.03,6836,81,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_9426,0.0,5572,39,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_20989,0.04,7112,91,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_29013,0.02,6632,74,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_22146,0.04,7056,88,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_CRW_54512,0.02,6880,77,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_34724,0.01,6396,68,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_15932,0.02,6884,79,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_24537,0.12,8320,138,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_12091,0.05,7232,97,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_5208,0.42,10316,215,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_22152,0.05,7008,95,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_3679,0.09,8096,124,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_34730,0.01,6296,68,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_10686,0.02,6532,79,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_28319,0.03,6976,86,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_37239,0.07,7724,112,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_31890,0.01,6316,63,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_39214,0.24,9724,191,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_11598,0.02,6716,78,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_26334,0.04,7152,87,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_CRW_50760,0.02,6684,71,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_9432,0.0,5708,42,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_31648,0.19,9132,169,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_CRW_28803,0.02,6624,77,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_26452,0.04,6884,86,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_9354,0.21,9100,173,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_27994,0.01,6744,73,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_16591,0.14,8472,142,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_20023,0.01,6616,68,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_30230,0.01,6600,69,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_33739,0.03,6728,83,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_4670,0.01,6300,63,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_24245,0.04,7332,99,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_34056,0.12,8416,138,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_15098,0.04,7096,96,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_22634,0.03,6952,85,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_CRW_54260,0.02,6448,76,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_35348,0.03,7032,83,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_1720,0.02,6612,74,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_36669,0.08,7980,117,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_40927,0.14,8416,151,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_38644,0.16,8468,147,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_18594,0.03,6976,88,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_28457,0.04,6916,91,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_30218,0.01,6228,60,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_8062,0.05,7448,104,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_19852,0.06,7392,102,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_4658,0.02,6684,79,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_33711,0.03,6888,85,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_12907,0.21,8820,166,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_3137,0.28,9604,185,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_35360,0.11,8036,134,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_4880,0.0,5916,46,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_5546,0.18,8548,156,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_25173,0.0,5356,30,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_CRW_15572,0.09,7828,120,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_5220,0.36,10332,207,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_25615,0.02,6588,78,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_35406,2.34,16432,444,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_42856,42.27,90584,2990,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_34718,0.01,6620,68,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_CRW_32873,0.0,5068,27,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_28331,0.04,7144,88,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_41387,0.03,6744,80,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_CRW_26806,0.02,6476,77,bprna,CapR,300,na,wisteria_20251017_1212,32
bpRNA_RFAM_27002,0.01,6452,68,bprna,CapR,300,na,wisteria_20251017_1212,32
