fasta,time_sec,max_rss_kb,length,dataset,tool,beam,energy,machine,jobs
bpRNA_RFAM_24251,0.05,5772,100,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_4664,0.03,5576,95,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_14392,0.06,5516,112,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_34042,0.08,7120,132,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_CRW_43708,0.02,4952,75,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_678,0.07,6484,120,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_26446,0.07,6776,120,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_6073,0.02,5084,81,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_CRW_16047,0.0,4748,57,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_9340,0.19,9212,180,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_SRP_842,0.62,17932,275,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_17843,0.03,5736,91,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_29775,0.01,4792,76,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_36655,0.03,5432,87,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_27980,0.0,4388,54,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_16585,0.1,6536,136,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_38678,0.12,8340,148,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_30224,0.03,5472,89,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_30542,0.04,5636,101,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_20751,0.02,4992,78,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_31884,0.02,5092,76,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_CRW_37937,0.02,4984,77,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_26320,0.02,5120,81,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_9426,0.0,4132,39,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_20989,0.03,5572,91,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_29013,0.01,4980,74,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_22146,0.03,5176,88,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_CRW_54512,0.02,5096,77,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_34724,0.01,5008,68,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_15932,0.02,4860,79,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_24537,0.1,6720,138,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_12091,0.04,5992,97,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_5208,0.33,12104,215,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_22152,0.04,5524,95,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_3679,0.08,6188,124,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_34730,0.01,4752,68,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_10686,0.02,4936,79,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_28319,0.03,5220,86,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_37239,0.06,5572,112,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_31890,0.01,4768,63,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_39214,0.19,10740,191,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_11598,0.02,4964,78,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_26334,0.03,5304,87,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_CRW_50760,0.01,4880,71,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_9432,0.0,4452,42,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_31648,0.15,8568,169,bprna,LinCapR,500,turner2004,wisteria_20251017_1212,32
